                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.4636,                0.86634,                0.79196,                0.90985,                 0.9697,                0.93792,                 0.5972,                 1.2035,                  1.528,                0.55159,               0.000596,               0.000596,               0.000596
                     74,                 1.1959,                0.75855,                0.79547,                0.91002,                 0.9697,                0.93924,                0.59164,                 1.1953,                 1.5807,                0.55272,              0.0005765,              0.0005765,              0.0005765
                     75,                 1.1657,                 0.7624,                0.79598,                0.90958,                 0.9697,                0.94143,                0.64528,                 1.0261,                 1.4811,                0.55434,               0.000557,               0.000557,               0.000557
                     76,                 1.3651,                0.81157,                0.78304,                0.90379,                 0.9697,                0.94153,                0.66772,                0.97967,                 1.4221,                0.55441,              0.0005375,              0.0005375,              0.0005375
                     77,                  1.244,                0.74415,                0.79358,                0.93734,                 0.9697,                0.94459,                0.64401,                 1.0807,                 1.3673,                0.55013,               0.000518,               0.000518,               0.000518
                     78,                 1.1478,                0.69946,                0.79897,                0.93694,                 0.9697,                 0.9455,                0.63569,                 1.1151,                 1.3837,                0.54829,              0.0004985,              0.0004985,              0.0004985
                     79,                 1.2934,                0.74139,                 0.7916,                 0.9388,                 0.9697,                0.94227,                0.65926,                 1.0364,                 1.4061,                 0.5467,               0.000479,               0.000479,               0.000479
                     80,                 1.1623,                0.69197,                0.79943,                0.94109,                 0.9683,                0.93976,                0.66881,                 1.0115,                 1.4058,                0.54931,              0.0004595,              0.0004595,              0.0004595
                     81,                 1.1604,                0.70776,                0.77653,                0.94091,                0.96518,                0.93497,                0.64393,                 1.0434,                 1.3583,                0.55206,                0.00044,                0.00044,                0.00044
                     82,                 1.1485,                 0.6899,                0.77931,                0.94107,                0.96787,                0.93409,                 0.6211,                 1.0561,                 1.3589,                0.55185,              0.0004205,              0.0004205,              0.0004205
                     83,                 1.2112,                0.71375,                0.80749,                0.94164,                      1,                 0.9585,                 0.6102,                 1.0944,                 1.4131,                0.55055,               0.000401,               0.000401,               0.000401
                     84,                 1.2696,                0.72792,                 0.7894,                0.94085,                 0.9697,                0.93624,                0.62795,                 1.0436,                  1.426,                0.54989,              0.0003815,              0.0003815,              0.0003815
                     85,                 1.2206,                0.71364,                0.78808,                0.94104,                0.96732,                0.94209,                0.67591,                0.93441,                 1.4243,                0.55258,               0.000362,               0.000362,               0.000362
                     86,                   1.23,                0.71462,                0.79374,                0.94096,                 0.9661,                0.94473,                0.67377,                0.91235,                 1.4045,                0.55344,              0.0003425,              0.0003425,              0.0003425
                     87,                 1.2048,                0.70925,                0.79986,                0.94083,                0.96376,                 0.9455,                0.63133,                  1.054,                 1.4303,                0.55647,               0.000323,               0.000323,               0.000323
                     88,                 1.2605,                0.74915,                0.79093,                0.94076,                0.96268,                 0.9455,                0.63148,                 1.0725,                 1.3918,                 0.5567,              0.0003035,              0.0003035,              0.0003035
                     89,                 1.2234,                0.69369,                0.79201,                0.94077,                0.96283,                0.94737,                0.67214,                0.96087,                 1.3199,                0.55511,               0.000284,               0.000284,               0.000284
                     90,                 1.3826,                 1.0205,                0.79704,                0.94083,                0.96388,                0.94772,                0.68732,                0.95024,                 1.3089,                0.55249,              0.0002645,              0.0002645,              0.0002645
                     91,                 1.4619,                0.89102,                0.78774,                0.93577,                 0.9697,                 0.9483,                0.64761,                 1.0742,                 1.3868,                0.55016,               0.000245,               0.000245,               0.000245
                     92,                 1.1514,                0.72176,                0.81016,                0.96946,                0.96215,                0.95016,                0.61607,                 1.1316,                 1.4161,                0.55062,              0.0002255,              0.0002255,              0.0002255
                     93,                   1.21,                0.78989,                0.78899,                0.96965,                0.96824,                0.95037,                0.61171,                 1.1574,                  1.429,                0.55078,               0.000206,               0.000206,               0.000206
                     94,                 1.1167,                0.74053,                0.77802,                0.96968,                0.96903,                0.95177,                0.63069,                 1.1173,                 1.4029,                0.54892,              0.0001865,              0.0001865,              0.0001865
                     95,                 1.2992,                0.74421,                0.78284,                0.96958,                0.96592,                0.95197,                0.68025,                 1.0205,                 1.3567,                0.54891,               0.000167,               0.000167,               0.000167
                     96,                  1.225,                0.73003,                0.80054,                0.96937,                0.95924,                0.95177,                0.69586,                0.97853,                 1.3509,                0.54858,              0.0001475,              0.0001475,              0.0001475
                     97,                 1.1515,                0.71586,                0.78239,                0.93805,                 0.9697,                0.95054,                0.68353,                0.98865,                 1.3802,                0.54818,               0.000128,               0.000128,               0.000128
                     98,                 1.2752,                0.74146,                 0.7879,                0.93833,                 0.9697,                0.95054,                0.67856,                0.99572,                 1.3921,                0.54907,              0.0001085,              0.0001085,              0.0001085
                     99,                 1.0598,                0.74134,                0.80672,                 0.9377,                 0.9697,                0.94709,                0.67216,                 1.0452,                 1.4047,                0.54917,                8.9e-05,                8.9e-05,                8.9e-05
