                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1495,                0.53957,                 1.0975,                0.90522,                0.84199,                0.89234,                0.52897,                 1.5168,                0.66093,                 1.3835,              0.0006434,              0.0006434,              0.0006434
                     70,                 1.1235,                0.52545,                 1.0737,                0.88926,                0.86809,                 0.9015,                0.55098,                 1.4662,                0.63232,                  1.359,             0.00062345,             0.00062345,             0.00062345
                     71,                  1.126,                0.52502,                 1.0818,                0.87892,                0.87967,                 0.9028,                0.54566,                 1.4593,                0.63653,                  1.354,              0.0006035,              0.0006035,              0.0006035
                     72,                 1.1143,                0.51825,                 1.0747,                0.89702,                 0.8758,                0.90538,                0.53306,                 1.5116,                 0.6362,                 1.3661,             0.00058355,             0.00058355,             0.00058355
                     73,                 1.1125,                0.51825,                 1.0818,                0.88564,                0.86716,                0.90546,                0.53995,                 1.4969,                0.63306,                 1.3778,              0.0005636,              0.0005636,              0.0005636
                     74,                 1.0972,                0.50886,                 1.0656,                0.88984,                0.87967,                0.90697,                0.52265,                 1.5611,                0.64947,                 1.3979,             0.00054365,             0.00054365,             0.00054365
                     75,                 1.1305,                0.52209,                 1.0864,                0.88805,                0.87803,                0.90781,                0.52554,                 1.5336,                0.64133,                 1.3759,              0.0005237,              0.0005237,              0.0005237
                     76,                 1.0938,                0.50469,                 1.0605,                0.89039,                0.87773,                0.91215,                 0.5482,                 1.4922,                0.62351,                 1.3739,             0.00050375,             0.00050375,             0.00050375
                     77,                 1.0975,                0.50514,                  1.069,                0.90559,                  0.858,                 0.9065,                0.55122,                 1.4576,                0.62832,                 1.3573,              0.0004838,              0.0004838,              0.0004838
                     78,                 1.0852,                0.50217,                 1.0567,                0.89111,                0.87942,                0.91158,                0.54521,                 1.4939,                 0.6329,                 1.3671,             0.00046385,             0.00046385,             0.00046385
                     79,                 1.0812,                0.50069,                 1.0598,                0.89407,                 0.8758,                0.90721,                 0.5334,                 1.4871,                0.63064,                 1.3665,              0.0004439,              0.0004439,              0.0004439
                     80,                 1.0623,                0.48778,                 1.0397,                 0.9057,                0.86615,                0.90771,                0.54484,                 1.4836,                0.62649,                  1.367,             0.00042395,             0.00042395,             0.00042395
