                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.59953,                0.34006,                0.88858,                0.84052,                0.83356,                0.85516,                0.66289,                0.96747,                0.51258,                 1.0092,               0.000108,               0.000108,               0.000108
                     78,                 0.5947,                  0.338,                0.88534,                0.85361,                0.80258,                0.84263,                0.65738,                 0.9789,                0.52727,                 1.0136,             0.00010394,             0.00010394,             0.00010394
                     79,                0.58197,                0.33239,                0.88027,                0.76963,                0.81613,                0.84721,                 0.6713,                0.94526,                0.51374,                0.99931,             9.9871e-05,             9.9871e-05,             9.9871e-05
                     80,                0.57237,                0.32647,                0.87962,                0.78552,                0.82799,                0.85388,                0.66915,                0.95653,                0.51206,                 1.0016,             9.5806e-05,             9.5806e-05,             9.5806e-05
                     81,                0.58738,                0.33717,                0.88429,                0.79467,                0.81531,                0.85352,                 0.6745,                0.94312,                0.50158,                 1.0017,              9.174e-05,              9.174e-05,              9.174e-05
                     82,                0.56808,                0.32587,                0.87866,                0.85106,                 0.8068,                0.84186,                0.66888,                0.92928,                0.50969,                0.99471,             8.7674e-05,             8.7674e-05,             8.7674e-05
                     83,                0.57103,                0.32437,                0.87853,                0.86044,                  0.805,                0.84685,                0.66723,                0.93369,                0.50589,                0.99825,             8.3609e-05,             8.3609e-05,             8.3609e-05
                     84,                0.56833,                0.32714,                0.87657,                0.86196,                0.80605,                0.84564,                0.66895,                0.93089,                0.50715,                0.99697,             7.9543e-05,             7.9543e-05,             7.9543e-05
                     85,                0.56688,                0.32421,                0.87994,                0.83896,                0.79142,                 0.8404,                0.65662,                0.94813,                0.51339,                 1.0053,             7.5477e-05,             7.5477e-05,             7.5477e-05
                     86,                0.56925,                0.32356,                0.87845,                0.79872,                0.82503,                 0.8478,                0.67819,                0.91884,                0.50115,                0.99458,             7.1411e-05,             7.1411e-05,             7.1411e-05
                     87,                0.56697,                0.32041,                0.87764,                0.83912,                0.82814,                0.84781,                0.67193,                0.93742,                0.50845,                0.99579,             6.7346e-05,             6.7346e-05,             6.7346e-05
                     88,                0.56056,                0.31903,                0.87571,                0.81305,                 0.8145,                0.85104,                0.67876,                0.92158,                0.49791,                0.99208,              6.328e-05,              6.328e-05,              6.328e-05
                     89,                0.55946,                0.31948,                0.87475,                0.83689,                0.83075,                0.85012,                0.67478,                0.91529,                0.49821,                0.98991,             5.9214e-05,             5.9214e-05,             5.9214e-05
                     90,                0.51372,                0.27214,                0.85367,                0.78319,                 0.8276,                 0.8495,                0.67301,                0.92106,                0.49195,                0.99486,             5.5148e-05,             5.5148e-05,             5.5148e-05
                     91,                0.50402,                0.26687,                 0.8521,                0.78699,                0.82285,                0.84626,                0.66595,                0.93527,                0.49512,                0.99774,             5.1082e-05,             5.1082e-05,             5.1082e-05
                     92,                 0.4902,                0.25979,                0.84738,                0.79715,                0.81025,                0.85212,                0.67684,                0.92504,                0.49504,                0.99555,             4.7017e-05,             4.7017e-05,             4.7017e-05
                     93,                0.49038,                0.26029,                0.84969,                0.79535,                0.82302,                0.84899,                0.67357,                0.92063,                0.49651,                0.99575,             4.2951e-05,             4.2951e-05,             4.2951e-05
                     94,                 0.4758,                0.25344,                0.84395,                0.78503,                0.83275,                 0.8428,                0.66545,                 0.9164,                0.49543,                0.99252,             3.8885e-05,             3.8885e-05,             3.8885e-05
                     95,                0.47528,                0.25377,                0.84273,                0.77379,                 0.8458,                0.84693,                 0.6718,                0.91845,                0.49624,                0.99548,              3.482e-05,              3.482e-05,              3.482e-05
                     96,                0.47938,                0.25386,                0.84702,                0.77903,                0.83786,                0.85148,                 0.6731,                0.90808,                0.49157,                0.99249,             3.0754e-05,             3.0754e-05,             3.0754e-05
                     97,                0.47421,                0.25314,                0.84571,                0.78563,                0.81741,                0.85221,                0.67906,                0.91415,                 0.4936,                0.99552,             2.6688e-05,             2.6688e-05,             2.6688e-05
                     98,                0.47742,                0.25417,                0.84477,                0.76565,                0.85638,                 0.8495,                0.67637,                0.90981,                0.49276,                0.99333,             2.2622e-05,             2.2622e-05,             2.2622e-05
                     99,                0.46626,                0.25051,                0.84103,                0.78594,                0.82776,                0.85735,                0.68347,                0.89833,                0.49072,                0.99083,             1.8557e-05,             1.8557e-05,             1.8557e-05
